,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A,Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
"위스키, 알코올 40%",284,0.03,0,0.07,0,0,0,1,0,0,0,0.04,0,0
"청주, 알코올 16%",132,0.41,0,4.24,0,4,0.02,3,0,0,0,0,0.46,0
"칵테일, 다이키리",125,0,0,15.7,0,0,0.01,40,0,0.001,0.001,1.3,0,0
"칵테일, 테킬라썬라이즈",110,0.3,0.1,11.3,0,0,0.02,57,0,0.038,0.016,19.3,0,0
"칵테일, 위스키사우어, 알코올 16.8%",149,0,0.03,13.17,0,1,0.08,20,0,0.011,0.006,1.6,0,0
"칵테일, 페퍼민트, 알코올 20% ",302,0,0,37.6,0,0,0,4,0,0,0,0,0,0
"칵테일, 피냐콜라다, 알코올 9.9%",237,0.6,7.6,27.6,0.1,1,0.03,71,0,0.017,0.005,1.5,0,0
"포도주, 백포도주, 알코올 12%",96,0.2,0,2.4,0,9,0.5,5,0,0,0.01,0,0,0
"포도주, 적포도주, 알코올 12%",105,0.2,0,4.8,0,7,0.5,6,0,0,0.01,0,0,0
"포도주, 적포도주, 알코올 13%",101,0.21,0,1.85,1.5,9,0.36,2,0,0.007,0.05,0,0,0
"간장, 개량, 양조",103,9.15,0,16.54,0.8,25,1.63,4783,0,0.039,1.624,0,0,0
"간장, 개량, 산분해",54,7.41,0.19,5.59,0.9,25,1.09,5476,0,0.193,0.536,0,1.27,0
"간장, 재래",83,3.72,0.01,16.96,0.4,21,0.19,6128,0,0.065,0.29,3.27,1.13,0
겨자 페이스트,315,5.9,14.5,40.1,0,60,2.1,2900,0,0.22,0.07,0,2400,1500
"겨자 페이스트, 연겨자, 겨자 가루 21%",296,8.01,12.7,37.36,19.4,101,2.05,1423,0.583333333,0.281,0.165,0,5699.67,404.47
"겨자, 가루",413,18.35,22.68,49.97,37.8,383,10.77,1,3.75,0.388,0.719,3.72,4635.83,2861.28
"계피, 가루",343,3.55,0.51,81.07,61.4,1281,28.24,67,2.75,0.287,0.106,0,117.28,25.16
"고기 소스, 통조림",101,3.8,5,10.1,0,17,0.8,610,5,0.14,0.05,6,0,0
"고기 소스, 소불고기양념",181,2.17,0.01,42.98,0.6,7,0.61,1964,0,0.041,0.445,0,3.67,0.59
"고추냉이, 가루",299,29.94,3.45,55.1,23.4,400,6.62,21,10.58333333,0.924,2.946,219.13,829.26,568.34
"고추냉이, 페이스트",148,3.03,1.58,35.81,7.3,98,1.09,801,0.916666667,0.029,0.079,5.04,648.34,162.53
"고추장, 개량",205,3.66,1.38,51.76,5.2,25,0.97,2486,291.25,0.529,0.221,0,702.83,89.26
"고추장, 재래",178,5.15,2.28,41.12,8.1,43,1.33,2424,114.4166667,0.17,0.542,4.66,1246.44,133.88
"고춧가루, 가루",319,13.29,8.4,60.62,37.7,79,4.89,13,613.5833333,0.427,2.159,0,5218.65,359.91
"골든세이지, 말린것",385,1.6,9.3,73.6,0,745,8.5,60,1480.833333,0.46,1.86,111,0,0
굴 소스,219,2.49,0.05,52.08,0,12,0.26,4608,1,0.009,0.483,0,1.33,0
"깨소금, 가루, 볶은것",638,18.1,56.7,13.7,0,1223,19,0,0,0.51,0.14,0,0,0
나토,200,16.5,10,12.1,6.7,90,3.3,2,0,0.07,0.56,0,5000,670
데리야끼 소스,89,5.93,0.02,15.56,0.1,25,1.7,3833,0,0.03,0.07,0,0,0
돈까스 소스,133,0.6,0.02,32.54,0,12,0.21,1713,13.75,0.013,0.071,0.6,8.85,2.56
"된장, 개량, 찌개용",173,12.5,5.59,18.5,9.1,92,2.17,4206,16.25,0.763,0.132,4.2,2811.3,446.78
"된장, 보리",164,10.9,2.1,25.3,0,39,1.2,0,0,0.15,0.25,12,0,0
"된장, 개량",137,11.1,3.7,15,0,81,7,4991,0,0.76,0.32,0,0,0
"된장, 일식(미소)",187,11.71,6.03,21.84,9.8,71,1.44,4616,0,0.163,0.258,0,3113.86,456.22
"된장, 재래",193,13.73,7.25,18.94,10.3,79,2.07,4339,0,0.588,0.837,11.2,3712.01,584.17
라면 스프,246,17.4,3.1,37.2,0,34,2.6,21194,50,1.15,0.36,0,0,0
"라벤다, 말린것",330,12.6,8.7,63.3,0,871,17.3,35,1105.583333,0.62,1.52,102,0,0
"레몬그라스(시트로넬라), 생것",99,1.82,0.49,25.31,0,65,8.17,6,0.25,0.065,0.135,2.6,0,0
"로즈마리, 말린것",373,8.5,15.8,61.5,0,707,8.2,229,575.1666667,0.34,1.37,102,0,0
마늘 페이스트,171,4.7,0.5,37,0,22,0.7,1800,0,0.11,0.04,0,140,17
"마늘, 가루 ",333,18.3,0.9,71.6,0,90,3.4,149,0,0.48,0.16,7,0,0
"마요네즈, 난황",702,1.2,75.6,4.2,0,17,0.3,450,20.41666667,0.02,0.05,0,0,0
"마요네즈, 전란",711,1.01,75.65,6.43,0,20,0.55,462,14.58333333,0.023,0.048,0,39227.1,5816.84
맛술,146,0.3,0.3,35.5,0,1,0.3,32,0,0.19,0.05,8,0,0
"민트, 말린것",294,17.5,6.1,56.2,0,1763,8.3,28,2306.416667,0.5,1.96,102,0,0
바비큐 소스,169,4.3,2.2,33.1,0.4,23,0.9,3300,0,0.03,0.09,1,890,7
