,Category,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A,Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
"Muffin, Milk muffin",Grains and grain products,296,6.9,11.4,41.4,2.7,200,2.39,467,39,0.284,0.301,0.3,0,0
"Muffin, English muffin",Grains and grain products,235,7.7,1.8,46,2.7,52,0.89,464,0,0.181,0.154,0.1,0,0
Morning roll,Grains and grain products,316,9.06,4.91,58.99,2.1,33,0.68,260,6.333333333,0,0.133,0,865.64,65.98
Loaf mocha bread,Grains and grain products,354,8.31,7.53,63.29,1.4,26,0.77,316,27.58333333,0.054,0.117,0,1224.46,79.4
Baguette,Grains and grain products,279,9.4,1.3,57.5,2.7,16,0.9,620,0,0.08,0.05,0,600,32
"Bagel, Egg",Grains and grain products,278,10.6,2.1,53,2.3,13,3.98,505,33,0.536,0.235,0.6,0,0
Loaf bread,Grains and grain products,279,9.01,4.91,49.68,3.7,26,0.6,516,1.416666667,0.169,0.326,0,545.11,45.74
"Loaf bread, ¥â-Carotene added",Grains and grain products,266,9.35,3.5,49.37,3.7,17,0.73,456,26.83333333,0.299,0.891,0,737.52,35.88
"Loaf bread, Corn",Grains and grain products,270,9.44,3.42,50.45,3.7,17,0.68,524,0.833333333,0.059,1.942,0,805.98,54.72
"Loaf bread, Milk",Grains and grain products,285,9.1,6,48.7,0,32,1.5,434,0,0.07,0.07,0,0,0
Corn bread,Grains and grain products,321,7.4,10.2,49.1,2.4,75,1.94,795,36,0.249,0.276,0.1,0,0
"Bun, With jam filling",Grains and grain products,297,6.6,5.8,54.5,1.8,31,0.5,310,0.75,0.07,0.04,3,740,85
"Steamed bread, With adzuki bean paste filling",Grains and grain products,213,5.96,1.29,44.36,5.1,22,0.93,158,0.416666667,0.015,0.045,0,352.61,49.73
"Steamed bread, Vegetables",Grains and grain products,231,8.1,5.5,37.3,0,54,0.9,409,0,0.08,0.04,0,0,0
"Steamed bread, Sweet pumpkin",Grains and grain products,239,5.4,0.9,52.4,0,26,0.7,280,191.6666667,0.12,0.1,14,0,0
Sponge cake,Grains and grain products,299,6.91,3.72,59.46,4.7,29,0.79,81,57.58333333,0.032,0.202,0,586.65,23.93
Croissants,Grains and grain products,448,7.9,26.8,43.9,1.8,21,0.6,470,5.5,0.08,0.03,0,2900,220
"Croissants, Butter",Grains and grain products,406,8.2,21,45.8,2.6,37,2.03,467,205.1666667,0.388,0.241,0.2,0,0
Croquette,Grains and grain products,307,6,18.2,29.7,0,25,1.1,346,26.91666667,0.06,0.12,0,0,0
"Croquette, Vegetable",Grains and grain products,301,7.1,16.4,31.2,1.1,32,10.3,403,27.91666667,0.21,0.17,5,0,0
"Bun, With cream filling",Grains and grain products,275,6,7.7,45.5,0,40,0.9,160,18.83333333,0.08,0.09,0,0,0
